match_turn,player1wins,match,turnNumber
"[Gen 1] Random Battle-10071,51491,20071,43286-turn0.txt",1,"[Gen 1] Random Battle-10071,51491,20071,43286",0
"[Gen 1] Random Battle-10071,51491,20071,43286-turn1.txt",1,"[Gen 1] Random Battle-10071,51491,20071,43286",1
"[Gen 1] Random Battle-10071,51491,20071,43286-turn13.txt",1,"[Gen 1] Random Battle-10071,51491,20071,43286",13
"[Gen 1] Random Battle-10071,51491,20071,43286-turn14.txt",1,"[Gen 1] Random Battle-10071,51491,20071,43286",14
"[Gen 1] Random Battle-10071,51491,20071,43286-turn23.txt",1,"[Gen 1] Random Battle-10071,51491,20071,43286",23
"[Gen 1] Random Battle-10071,51491,20071,43286-turn3.txt",1,"[Gen 1] Random Battle-10071,51491,20071,43286",3
"[Gen 1] Random Battle-10071,51491,20071,43286-turn4.txt",1,"[Gen 1] Random Battle-10071,51491,20071,43286",4
"[Gen 1] Random Battle-10071,51491,20071,43286-turn6.txt",1,"[Gen 1] Random Battle-10071,51491,20071,43286",6
"[Gen 1] Random Battle-1021,41047,35453,44886-turn0.txt",1,"[Gen 1] Random Battle-1021,41047,35453,44886",0
"[Gen 1] Random Battle-1021,41047,35453,44886-turn12.txt",1,"[Gen 1] Random Battle-1021,41047,35453,44886",12
"[Gen 1] Random Battle-1021,41047,35453,44886-turn14.txt",1,"[Gen 1] Random Battle-1021,41047,35453,44886",14
"[Gen 1] Random Battle-1021,41047,35453,44886-turn15.txt",1,"[Gen 1] Random Battle-1021,41047,35453,44886",15
"[Gen 1] Random Battle-1021,41047,35453,44886-turn20.txt",1,"[Gen 1] Random Battle-1021,41047,35453,44886",20
"[Gen 1] Random Battle-1021,41047,35453,44886-turn23.txt",1,"[Gen 1] Random Battle-1021,41047,35453,44886",23
"[Gen 1] Random Battle-1021,41047,35453,44886-turn24.txt",1,"[Gen 1] Random Battle-1021,41047,35453,44886",24
"[Gen 1] Random Battle-1021,41047,35453,44886-turn4.txt",1,"[Gen 1] Random Battle-1021,41047,35453,44886",4
"[Gen 1] Random Battle-10256,60567,37015,9574-turn0.txt",0,"[Gen 1] Random Battle-10256,60567,37015,9574",0
"[Gen 1] Random Battle-10256,60567,37015,9574-turn19.txt",0,"[Gen 1] Random Battle-10256,60567,37015,9574",19
"[Gen 1] Random Battle-10256,60567,37015,9574-turn23.txt",0,"[Gen 1] Random Battle-10256,60567,37015,9574",23
"[Gen 1] Random Battle-10256,60567,37015,9574-turn25.txt",0,"[Gen 1] Random Battle-10256,60567,37015,9574",25
"[Gen 1] Random Battle-10256,60567,37015,9574-turn28.txt",0,"[Gen 1] Random Battle-10256,60567,37015,9574",28
"[Gen 1] Random Battle-10256,60567,37015,9574-turn29.txt",0,"[Gen 1] Random Battle-10256,60567,37015,9574",29
"[Gen 1] Random Battle-10256,60567,37015,9574-turn30.txt",0,"[Gen 1] Random Battle-10256,60567,37015,9574",30
"[Gen 1] Random Battle-10256,60567,37015,9574-turn32.txt",0,"[Gen 1] Random Battle-10256,60567,37015,9574",32
"[Gen 1] Random Battle-10256,60567,37015,9574-turn33.txt",0,"[Gen 1] Random Battle-10256,60567,37015,9574",33
"[Gen 1] Random Battle-10256,60567,37015,9574-turn40.txt",0,"[Gen 1] Random Battle-10256,60567,37015,9574",40
"[Gen 1] Random Battle-10256,60567,37015,9574-turn52.txt",0,"[Gen 1] Random Battle-10256,60567,37015,9574",52
"[Gen 1] Random Battle-10256,60567,37015,9574-turn54.txt",0,"[Gen 1] Random Battle-10256,60567,37015,9574",54
"[Gen 1] Random Battle-10256,60567,37015,9574-turn7.txt",0,"[Gen 1] Random Battle-10256,60567,37015,9574",7
"[Gen 1] Random Battle-10280,19224,21594,46262-turn0.txt",1,"[Gen 1] Random Battle-10280,19224,21594,46262",0
"[Gen 1] Random Battle-10280,19224,21594,46262-turn19.txt",1,"[Gen 1] Random Battle-10280,19224,21594,46262",19
"[Gen 1] Random Battle-10280,19224,21594,46262-turn21.txt",1,"[Gen 1] Random Battle-10280,19224,21594,46262",21
"[Gen 1] Random Battle-10280,19224,21594,46262-turn23.txt",1,"[Gen 1] Random Battle-10280,19224,21594,46262",23
"[Gen 1] Random Battle-10280,19224,21594,46262-turn39.txt",1,"[Gen 1] Random Battle-10280,19224,21594,46262",39
"[Gen 1] Random Battle-10280,19224,21594,46262-turn41.txt",1,"[Gen 1] Random Battle-10280,19224,21594,46262",41
"[Gen 1] Random Battle-10280,19224,21594,46262-turn42.txt",1,"[Gen 1] Random Battle-10280,19224,21594,46262",42
"[Gen 1] Random Battle-10280,19224,21594,46262-turn45.txt",1,"[Gen 1] Random Battle-10280,19224,21594,46262",45
"[Gen 1] Random Battle-10280,19224,21594,46262-turn49.txt",1,"[Gen 1] Random Battle-10280,19224,21594,46262",49
"[Gen 1] Random Battle-10280,19224,21594,46262-turn51.txt",1,"[Gen 1] Random Battle-10280,19224,21594,46262",51
"[Gen 1] Random Battle-10280,19224,21594,46262-turn54.txt",1,"[Gen 1] Random Battle-10280,19224,21594,46262",54
"[Gen 1] Random Battle-10280,19224,21594,46262-turn57.txt",1,"[Gen 1] Random Battle-10280,19224,21594,46262",57
"[Gen 1] Random Battle-10280,19224,21594,46262-turn61.txt",1,"[Gen 1] Random Battle-10280,19224,21594,46262",61
"[Gen 1] Random Battle-10280,19224,21594,46262-turn8.txt",1,"[Gen 1] Random Battle-10280,19224,21594,46262",8
